City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
545,Flinders,AU,64.0,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
546,Emba,KZ,26.91,overcast clouds,48.8264,58.1442,
549,Salalah,OM,69.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
551,Nago,JP,59.0,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
552,Bereda,ES,48.99,overcast clouds,43.2686,-7.5406,Pazo de Verdes
553,Marsa Matruh,EG,60.8,clear sky,31.3525,27.2453,Beau Site
554,Kumluca,TR,59.4,scattered clouds,36.3703,30.2869,TurkuazKöy
556,Ixtapa,MX,73.4,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
557,Mount Gambier,AU,57.2,overcast clouds,-37.8333,140.7667,Commodore on the Park
558,Balclutha,NZ,55.0,broken clouds,-46.2339,169.75,Hotel South Otago
561,Namanyere,TZ,60.48,few clouds,-7.5167,31.05,Manyovu Lodge
562,Redlands,US,69.8,scattered clouds,34.0556,-117.1825,Dynasty Suites Redlands
564,Ejea De Los Caballeros,ES,51.8,few clouds,42.1263,-1.1372,Hotel Ciudad De Ejea
568,Pervomayskiy,RU,32.0,overcast clouds,53.2485,40.2871,
570,Lata,PT,57.0,overcast clouds,40.1629,-8.3327,Casa Maquia
573,Ushibuka,JP,48.22,clear sky,32.1906,130.0228,Hotei
574,Ukiah,US,48.99,mist,39.1502,-123.2078,Hampton Inn Ukiah
575,Grindavik,IS,37.4,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
576,Seminole,US,59.0,clear sky,28.7086,-81.2081,WHITNEY-WOLCOTT HOUSE ON LAKE CHARM
578,Jalu,LY,58.17,clear sky,29.0331,21.5482,صاحبة الفخامة
580,Ratnagiri,IN,74.53,clear sky,16.9833,73.3,Hotel Landmark
582,Dickinson,US,69.01,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
583,Socorro,US,73.4,broken clouds,31.6546,-106.3033,guarderia imss papalote
585,Copiapo,CL,68.0,clear sky,-27.3667,-70.3333,Antay Casino Hotel
586,Doha,QA,64.4,clear sky,25.2867,51.5333,Doha Marriott Hotel
589,Necochea,AR,73.99,clear sky,-38.5473,-58.7368,dyd -mar Hotel
593,Talcahuano,CL,66.2,clear sky,-36.7167,-73.1167,Hotel Terramar
